epoch,stage,train_loss,train_acc,val_loss,val_acc,lr,elapsed_s
1,stage1,3.8287,5.12,3.5881,7.24,1.00e-03,923.0
2,stage1,3.6187,6.07,3.4791,8.91,1.00e-03,923.6
3,stage1,3.5476,7.62,3.4770,9.65,1.00e-03,924.2
4,stage1,3.4950,8.27,3.3325,10.16,1.00e-03,923.4
5,stage1,3.4637,8.67,3.3767,10.16,1.00e-03,937.3
6,stage2,3.3825,10.37,3.2097,13.50,1.00e-04,3626.0
7,stage2,3.3072,11.51,3.1455,14.35,1.00e-04,4281.3
8,stage2,3.2599,12.30,3.1156,15.03,1.00e-04,3106.9
9,stage2,3.2383,12.71,3.1134,15.01,1.00e-04,2880.6
10,stage2,3.2144,12.95,3.0891,15.72,1.00e-04,4485.0
11,stage2,3.2028,13.31,3.0712,16.06,1.00e-04,2055.9
12,stage2,3.1771,13.54,3.0302,16.13,1.00e-04,2057.3
13,stage2,3.1354,14.19,2.9821,17.14,1.00e-04,2420.3
14,stage2,3.1123,14.67,2.9954,18.77,1.00e-04,2383.0
15,stage2,3.0853,15.56,2.9682,19.81,1.00e-04,2625.0
16,stage2,3.0731,15.86,2.9194,20.02,1.00e-04,2568.5
17,stage2,3.0550,15.88,2.8981,21.14,1.00e-04,2615.5
18,stage2,3.0210,16.82,2.9071,21.46,1.00e-04,2492.7
19,stage2,3.0130,16.73,2.8844,21.35,1.00e-04,2726.9
20,stage2,2.9776,17.36,2.8189,22.86,1.00e-04,2881.2
21,stage2,2.9560,18.02,2.8305,23.01,1.00e-04,2852.5
22,stage2,2.9339,18.78,2.7618,24.44,1.00e-04,2167.0
23,stage2,2.8984,18.88,2.7216,25.86,1.00e-04,1956.5
24,stage2,2.8648,19.84,2.6683,26.60,1.00e-04,1952.7
25,stage2,2.8506,20.30,2.7466,25.99,1.00e-04,1971.5
26,stage2,2.8143,21.33,2.7038,27.26,1.00e-04,1960.0
27,stage2,2.7934,22.06,2.6270,28.49,1.00e-04,1951.0
28,stage2,2.7604,22.48,2.5981,30.07,1.00e-04,1942.1
29,stage2,2.7383,23.08,2.5407,31.03,1.00e-04,1968.2
30,stage2,2.7100,23.12,2.5090,31.56,1.00e-04,1964.8
31,stage3,2.6576,24.42,2.4510,32.95,1.00e-05,1992.5
32,stage3,2.6427,24.49,2.4466,32.91,1.00e-05,1973.9
33,stage3,2.6346,25.04,2.4428,33.44,1.00e-05,1948.1
34,stage3,2.6404,24.88,2.4407,33.25,1.00e-05,1953.8
35,stage3,2.6265,24.95,2.4363,33.69,1.00e-05,1924.7
