epoch,stage,train_loss,train_acc,val_loss,val_acc,lr,elapsed_s
1,train,3.6799,4.91,3.5212,7.34,1.00e-03,41637.7
2,train,3.4830,7.12,3.4148,7.53,1.00e-03,505.2
3,train,3.3790,8.34,3.3061,8.15,1.00e-03,521.7
4,train,3.3070,9.37,3.2512,8.59,1.00e-03,452.9
5,train,3.2343,10.63,3.1491,12.70,1.00e-03,469.4
6,train,3.1514,12.21,3.1083,11.92,1.00e-03,515.0
7,train,3.0979,13.00,3.0499,14.77,1.00e-03,485.2
8,train,3.0680,13.89,3.0204,14.29,1.00e-03,454.8
9,train,3.0408,14.29,2.9865,14.96,1.00e-03,437.4
10,train,3.0253,14.88,2.9605,15.85,1.00e-03,410.2
11,train,3.0078,15.07,2.9443,15.53,1.00e-03,415.8
12,train,2.9928,15.38,2.9585,15.53,1.00e-03,395.0
13,train,2.9788,15.98,2.9613,14.86,1.00e-03,381.5
14,train,2.9670,16.23,2.9047,16.91,1.00e-03,375.4
15,train,2.9585,15.87,2.9201,17.29,1.00e-03,366.0
16,train,2.9457,16.40,2.8984,15.79,1.00e-03,358.4
17,train,2.9372,16.43,2.8939,16.91,1.00e-03,363.2

18,train,2.9275,16.72,2.8922,17.27,1.00e-03,364.3
19,train,2.9201,17.16,2.8601,17.99,1.00e-03,361.2
20,train,2.9094,17.48,2.8632,16.85,1.00e-03,364.4
