epoch,stage,train_loss,train_acc,val_loss,val_acc,lr,elapsed_s
1,train,3.6869,5.96,3.5167,8.34,1.00e-03,328.3
2,train,3.4780,8.57,3.3740,9.14,1.00e-03,297.7
3,train,3.3880,9.62,3.2935,10.58,1.00e-03,296.9
4,train,3.3158,11.09,3.2016,12.21,1.00e-03,295.1
5,train,3.2555,11.77,3.1892,11.89,1.00e-03,292.5
6,train,3.2098,13.17,3.1167,15.26,1.00e-03,291.8
7,train,3.1538,14.34,3.0746,14.65,1.00e-03,291.4
8,train,3.1073,15.47,3.0227,15.53,1.00e-03,292.2
9,train,3.0655,15.90,3.0118,16.30,1.00e-03,290.5
10,train,3.0145,16.78,2.9078,19.11,1.00e-03,293.5
11,train,2.9808,17.10,2.8963,19.24,1.00e-03,293.5
12,train,2.9505,18.07,2.8252,19.83,1.00e-03,291.3
13,train,2.9236,18.21,2.7847,20.97,1.00e-03,293.4
14,train,2.9035,18.73,2.7898,21.08,1.00e-03,287.9
15,train,2.8748,19.14,2.8111,18.88,1.00e-03,287.9
16,train,2.8528,19.46,2.7308,22.03,1.00e-03,287.2
17,train,2.8411,20.10,2.7202,21.93,1.00e-03,292.3
18,train,2.8106,20.02,2.6942,21.19,1.00e-03,290.3
19,train,2.8038,20.33,2.6905,21.54,1.00e-03,289.4
20,train,2.7811,20.73,2.6533,23.70,1.00e-03,298.4
